id,value
esdpsd.psd.kps.ku.ac.th,23
www.ling.human.ku.ac.th,3
kulc.lib.ku.ac.th,39
web.ku.ac.th,17
158.108.220.22,2
fna.csc.ku.ac.th,4
www.physics.sci.ku.ac.th,1
www.buddhism.rilc.ku.ac.th,23
vet.kps.ku.ac.th,1
edtech.edu.ku.ac.th,2
nisit.kasetsart.org,19
impact-www.eng.ku.ac.th,1
158.108.44.31,4
www.physio.vet.ku.ac.th,1
158.108.52.244,1
psy.soc.ku.ac.th,1
www.cm-mba.bus.ku.ac.th,1
www.agro.ku.ac.th,100
158.108.80.32,10
www.safety.eng.ku.ac.th,6
fe.eng.kps.ku.ac.th,4
www.ttc.ifrpd.ku.ac.th,13
ku.th,4
www.qa.ku.ac.th,3
www.cras.ms.src.ku.ac.th,1
genetics.sci.ku.ac.th,20
www.edu.ku.ac.th,8
www.arch.ku.ac.th,5
www.interprogram.ku.ac.th,23
www.bioscience.project.ku.ac.th,1
cloudbox.ku.ac.th,1
vph.vet.ku.ac.th,2
www.cpe.eng.kps.ku.ac.th,4
mic.eng.ku.ac.th,3
ocs.ku.ac.th,11
www.nec.psd.ku.ac.th,4
158.108.219.174,1
www.kps-iged.psd.kps.ku.ac.th,8
newsty.cpe.ku.ac.th,9
158.108.219.22,3
ee.ku.ac.th,5
www.nisit.kasetsart.org,1
dpl.arch.ku.ac.th,2
www2.grad.ku.ac.th,3
www2.kus.ku.ac.th,1
158.108.80.8,1
www.bio.flas.kps.ku.ac.th,1
158.108.68.26,1
www.pr.ku.ac.th,5
fam.csc.ku.ac.th,10
www.cit.kps.ku.ac.th,1
becon.eco.ku.ac.th,5
ku-sall.human.ku.ac.th,4
kutrip.mikelab.net,3
ebook.lib.ku.ac.th,53
coop.ku.ac.th,2
158.108.207.135,1
www.eng.kps.ku.ac.th,6
apps.coop.ku.ac.th,1
ento.agr.ku.ac.th,3
caer.eco.ku.ac.th,2
botany.sci.ku.ac.th,2
www.east.human.ku.ac.th,21
kuseawatch.rdi.ku.ac.th,2
acas.bus.ku.ac.th,5
agext.agri.kps.ku.ac.th,4
archives.psd.ku.ac.th,4
158.108.250.138,5
admin.forest.ku.ac.th,4
158.108.144.14,2
158.108.83.4,3
www.msftncsi.com,12
taip.agr.ku.ac.th,1
www.lib.kps.ku.ac.th,12
158.108.54.4,6
physics.sci.ku.ac.th,6
ku-numthai.rdi.ku.ac.th,1
advisor.ku.ac.th,1
nisitmis.csc.ku.ac.th,3
kucc28.ku.ac.th,8
www.sa.sa.ku.ac.th,1
intanin.lib.ku.ac.th,48
pe.edu.kps.ku.ac.th,1
ebaa.eco.ku.ac.th,1
ku-online.ku.ac.th,3
158.108.199.6,4
www.human.ku.ac.th,38
www.sci.src.ku.ac.th,1
conservation.forest.ku.ac.th,2
158.108.215.134,1
edu.ku.ac.th,36
give.cpe.ku.ac.th,4
dsd.sa.ku.ac.th,2
www.edtech.edu.ku.ac.th,2
knowbita.cpe.ku.ac.th,2
sbai.agro.ku.ac.th,1
resource.lib.ku.ac.th,3
fph.csc.ku.ac.th,3
158.108.219.187,2
misweb.csc.ku.ac.th,7
158.108.220.66,1
webportal.ku.ac.th,15
www.hum.ku.ac.th,3
pdmss.agro.ku.ac.th,5
kus.kps.ku.ac.th,8
adm.ocs.ku.ac.th,1
clgc.agri.kps.ku.ac.th,24
www.hort.agr.ku.ac.th,2
dbkps.kps.ku.ac.th,2
www.access.cs.sci.ku.ac.th,2
av.eto.ku.ac.th,3
hort.agr.ku.ac.th,1
academic.human.ku.ac.th,1
158.108.219.171,1
philos-reli.human.ku.ac.th,3
www.sci.ku.ac.th,13
www.corsat.agr.ku.ac.th,38
www.lawsp.soc.ku.ac.th,1
coop.eco.ku.ac.th,5
158.108.96.11,1
www.soc.ku.ac.th,8
innovation.forest.ku.ac.th,5
www.forest.ku.ac.th,31
158.108.220.31,1
coopshop.ku.ac.th,2
sps.kps.ku.ac.th,5
che.eng.ku.ac.th,2
www.ifrpd.ku.ac.th,7
it.vit.src.ku.ac.th,5
www.agri.kps.ku.ac.th,7
www.me.eng.ku.ac.th,19
www.eco.ku.ac.th,2
impact.eng.ku.ac.th,1
dairy.ku.ac.th,5
www.ia.psd.ku.ac.th,1
legal.psd.ku.ac.th,6
vpn.ku.ac.th,1
www.wt.eng.ku.ac.th,1
cpe.ku.ac.th,2
std.regis.ku.ac.th,1
www.edus.soc.ku.ac.th,1
158.108.104.12,30
arch.ku.ac.th,2
annualconference.ku.ac.th,4
researchconference.kps.ku.ac.th,7
asproject.sci.ku.ac.th,2
eng-fse.csc.ku.ac.th,1
lib.kps.ku.ac.th,3
gifted.kus.ku.ac.th,1
www.clinicssi.edu.ku.ac.th,4
irre.ku.ac.th,13
academic.kus.ku.ac.th,21
158.108.220.19,1
kus.ku.ac.th,11
live.ku.ac.th,3
map.ku.ac.th,11
masp.bus.ku.ac.th,1
158.108.102.18,2
rice.kps.ku.ac.th,1
158.108.216.37,9
arc.src.ku.ac.th,4
www.eeba.eco.ku.ac.th,30
www.konex.ku.ac.th,1
www.y-mba.bus.ku.ac.th,22
www.inf.ku.ac.th,11
ku-vim.vet.ku.ac.th,9
www.pdmss.agro.ku.ac.th,3
elab.cpe.ku.ac.th,1
www.vet.ku.ac.th,18
info.grad.ku.ac.th,10
admission.eng.ku.ac.th,15
forest-admin.forest.ku.ac.th,3
iup.eng.ku.ac.th,10
cai.human.ku.ac.th,1
math.flas.kps.ku.ac.th,2
158.108.219.88,1
alumni.forest.ku.ac.th,3
logs.ku.ac.th,5
kufsp.center.ku.ac.th,1
tsjenvi.thaiddns.com,2
www.ce.eng.ku.ac.th,8
www.sep.flas.kps.ku.ac.th,1
icps2015.kasetsart.org,2
kasetsartfc.sp.ku.ac.th,15
ifrpd.ku.ac.th,48
bsta.agr.ku.ac.th,1
ex-assess.ku.ac.th,1
vettech.ku.ac.th,1
158.108.216.5,1
www.regis.ku.ac.th,2
www.kulc.lib.ku.ac.th,1
farm-machinery.agr.ku.ac.th,2
eng.src.ku.ac.th,5
kuappstore.ku.ac.th,1
158.108.102.26,2
www.ku-iged.psd.ku.ac.th,2
158.108.110.154,2
eduroam.ku.ac.th,1
www.mirror1.ku.ac.th,10
www.cai.ku.ac.th,8
mat.eng.ku.ac.th,12
www.civil.eng.kps.ku.ac.th,2
158.108.102.12,1
158.108.102.10,4
www.pe.eng.ku.ac.th,10
158.108.94.117,3
training.ku.ac.th,2
ped.edu.ku.ac.th,1
dnatec.kps.ku.ac.th,2
portal.ku.ac.th,2
sci.src.ku.ac.th,3
it.flas.kps.ku.ac.th,4
www.grad.eco.ku.ac.th,20
