id,value
www.tab.ac.th,3
backup.avg.cz,21
is2.mzstatic.com,178
is4.mzstatic.com,116
www.tarntaraspa.com,10
www.talent.co.th,6
www.sugarzone.in.th,209
a4.mzstatic.com,177
is5.mzstatic.com,152
rpttc.flas.kps.ku.ac.th,2
www.tarzanresort.com,40
cat.hk.as.criteo.com,23
uc.oppo.com:80,9
connectivitycheck.android.com,418
valve1000.steamcontent.com,1517
h.mhcdn.net,5
www.tarojunior.com,2
www.ku.ac.th,1051
www.taradquickweb.com,3
sg.apis.naver.com,211
akamai.gethornet.com,46
104.20.22.219,31
203.151.183.193:80,710
dis.hk.as.criteo.com,34
resources.infolinks.com,4
valve1004.steamcontent.com,1223
imp.mtburn.com,12
tools.google.com,1426
cf.shopee.co.th,203
au.v4.download.windowsupdate.com,186
www.tanaosri-creekside.com,5
www.suankarnchang.com,123
www.taraeng.go.th,4
au.b1.download.windowsupdate.com,225
smce.doae.go.th,546
www.spvc.ac.th,22
certificates.godaddy.com,20
instagram.fbkk14-1.fna.fbcdn.net,3465
ctldl.windowsupdate.com,984
www.tarinhotel.com,5
www.myinwallpaper.com,100
api.reasonsecurity.com,1
cdn.content.prod.cms.msn.com,244
kps.ku.ac.th,92
www.taradkaset.com,8
mds.nipa.co.th,472
www.tapanaliveaboard.com,4
wsxc123.cc,879
203.154.179.66,14
www.suvarnabhumiairport.com,3
www.tasawang.com,1
p8801.popza88.com,23
cmdump.upload.duba.net,6
muangsiri.com,765
www.tanitsorat.com,20
otf.msn.com,91
www.tanasorn.com,38
valve1010.steamcontent.com,275
is1.mzstatic.com,117
3.bp.blogspot.com,229
asia.vod.linetv.edgesuite.net,1969
i.w.inmobi.com,46
spcdnresource-akcf.i-mobile.co.jp,34
sync.adaptv.advertising.com,8
vdn-obs-th.line-scdn.net,147
i.ota.nearme.com.cn,11
b.max-eclat.men,17
imgcdn.ptvcdn.net,1297
ads.mopub.com,976
pirun.ku.ac.th,396
mirror2.totbb.net,19
mirrors.btte.net,11
lh3.googleusercontent.com,12
www.tannamtip.go.th,8
eyeota-sync.dotomi.com,2
crl.apple.com,2
www.tamdee.net,6
www.tanoddoun.go.th,6
p.rfihub.com,10
xsso.weather.intechnical.online,6
www.tarachan-huahin.com,6
www.tararomestate.com,4
mirror.adminbannok.com,22
sg-nvapis.line.me,396
m.pann.nate.com,85
www.mangahere.co,1
push.bitdefender.net,1207
valve1011.steamcontent.com,485
pingsl.avast.com,314
valve1005.steamcontent.com,75
38.90.226.37,146
103.10.124.71:80,3
www.taramantra-chaam.com,23
www.tasty-dsign.com,1
get-seeders.com,19
1dc1p.siambit.me,5
www.kuer.edu.ku.ac.th,76
free.tv4uhd.com,7
fishbio.fish.ku.ac.th,13
cdn.th.sf.garenanow.com,350
www.tasoft.co.th,11
www.tarad.in.th,6
adash.m.taobao.com,140
mirror1.ku.ac.th,3810
ssw.live.com,705
appsapiusa.veinteractive.com,1
a1.mzstatic.com,96
metrics.brightcove.com,332
server.cpmstar.com,56
dnl-17.geo.kaspersky.com,70
banner.bumq.com,52
api-public.addthis.com,24
www.tassanagardenclub.com,1
router.infolinks.com,1
www.tat8.com,7
api.accuweather.com,103
www.tasaban-maemoh.go.th,2
instagram.fbkk10-1.fna.fbcdn.net,8335
www.tak.mi.th,43
www.popza99.net,51
jsc.mgid.com,9
cs.gssprt.jp,388
bypass.ad-stir.com,113
agkb.lib.ku.ac.th,461
cdn3.cpmstar.com,29
master1.teamviewer.com,87
rpt.cedexis.com,14
armmf.adobe.com,737
tile-service.weather.microsoft.com,104
www.muangsiri.com,812
cdn.samsungcloudsolution.com,693
susapi.lenovomm.com,13
www.tata-shops.com,9
www.tanapolvanich.com,4
www.mizunousa.com,1
imgcache.qq.com,10
imgcache.wechat.com,313
profile.line-cdn.net,71
captive.apple.com,2194
www.thaihealth.or.th,249
a.algovid.com,223
fe2.update.microsoft.com,85
www.tamnanpra.com,3
103.10.124.22:80,2
cdn.th.garenanow.com,1222
ag-ebook.lib.ku.ac.th,126
linedict.naver.com,5
cyad1.nate.com,55
cdn.garenanow.com,2079
clients3.google.com,99
www.gerd.eng.ku.ac.th,87
www.takecarewedding.com,29
ib.adnxs.com,221
www.tararom.com,15
valve1006.steamcontent.com,497
ping3.teamviewer.com,1449
www.taradnud.com,25
pingma.qq.com:80,784
www.tapan.go.th,9
static.flyflv.com,169
ww1.sinaimg.cn,13
ads.stickyadstv.com,343
imp.mklaud.com,71
weather.noaa.gov,55
ppath.agr.ku.ac.th,20
bigdata.adsunflower.com,2
comm.api.vivoglobal.com,30
au.download.windowsupdate.com,836
proxy-081.dc3.dailymotion.com,324
wu-calculator.apple.com,15
s3.amazonaws.com,30
www.taradmongkol.com,37
us.sinaimg.cn,84
weather.intechnical.online,226
bigdata.adfuture.cn,1
master6.teamviewer.com,46
adserver.adtechjp.com,48
freegeoip.net,2
www.successcanada.org,89
www.tatongjewelry.com,2
detectportal.firefox.com,450
pixel.mathtag.com,36
www.tarc.or.th,10
203.145.115.35,190
www.suayd.com,57
www.tarad.com,28
www.tarnbuchindustry.com,5
init.gc.apple.com,18
samsung.com,74
apcess2017.kasetsart.org,2
cdn.brandymelvilleusa.com,18
ads.imnews.garenanow.com,1
www.coolism.net,197
px.owneriq.net,15
x.bidswitch.net,39
bh.contextweb.com,36
stoppblock.org,75
tags.bluekai.com,191
idsync.rlcdn.com,34
ww2.sinaimg.cn,9
sync.appstore.baidu.co.th,3
doras.psd.ku.ac.th,772
geo-um.btrll.com,19
www.tagf.co.th,5
ps.eyeota.net,313
www.tasuvcuring.com,6
www.taludiving.com,39
beacon.krxd.net,10
csrs.ku.ac.th,163
ap.ime.cootek.com,51
taradnud.com,24
aa.agkn.com,146
www.toptools100.com,2899
content.tapjoy.com,5
vet.ku.ac.th,946
www.taradthong.com,10
